Exact age,Male Death probability,Male Number of lives,Male Life expectancy,Female Death probability,Female Number of lives,Female Life expectancy
0,0.006064,100000,74.74,0.005119,100000,80.18
1,0.000491,99394,74.20,0.000398,99488,79.60
2,0.000309,99345,73.23,0.000240,99449,78.63
3,0.000248,99314,72.25,0.000198,99425,77.65
4,0.000199,99290,71.27,0.000160,99405,76.66
5,0.000167,99270,70.29,0.000134,99389,75.67
6,0.000143,99253,69.30,0.000118,99376,74.68
7,0.000126,99239,68.31,0.000109,99364,73.69
8,0.000121,99226,67.32,0.000106,99353,72.70
9,0.000121,99214,66.32,0.000106,99343,71.71
10,0.000127,99202,65.33,0.000111,99332,70.72
11,0.000143,99190,64.34,0.000121,99321,69.72
12,0.000171,99176,63.35,0.000140,99309,68.73
13,0.000227,99159,62.36,0.000162,99295,67.74
14,0.000320,99136,61.37,0.000188,99279,66.75
15,0.000451,99104,60.39,0.000224,99260,65.76
16,0.000622,99060,59.42,0.000276,99238,64.78
17,0.000826,98998,58.46,0.000337,99211,63.80
18,0.001026,98916,57.50,0.000395,99177,62.82
19,0.001182,98815,56.56,0.000450,99138,61.84
20,0.001301,98698,55.63,0.000496,99094,60.87
21,0.001404,98570,54.70,0.000532,99044,59.90
22,0.001498,98431,53.78,0.000567,98992,58.93
23,0.001586,98284,52.86,0.000610,98936,57.97
24,0.001679,98128,51.94,0.000650,98875,57.00
25,0.001776,97963,51.03,0.000699,98811,56.04
26,0.001881,97789,50.12,0.000743,98742,55.08
27,0.001985,97605,49.21,0.000796,98669,54.12
28,0.002095,97412,48.31,0.000855,98590,53.16
29,0.002219,97208,47.41,0.000924,98506,52.20
30,0.002332,96992,46.51,0.000988,98415,51.25
31,0.002445,96766,45.62,0.001053,98318,50.30
32,0.002562,96529,44.73,0.001123,98214,49.35
33,0.002653,96282,43.84,0.001198,98104,48.41
34,0.002716,96026,42.96,0.001263,97986,47.47
35,0.002791,95765,42.08,0.001324,97863,46.53
36,0.002894,95498,41.19,0.001403,97733,45.59
37,0.002994,95222,40.31,0.001493,97596,44.65
38,0.003091,94937,39.43,0.001596,97450,43.72
39,0.003217,94643,38.55,0.001700,97295,42.79
40,0.003353,94339,37.67,0.001803,97129,41.86
41,0.003499,94022,36.80,0.001905,96954,40.93
42,0.003642,93693,35.93,0.002009,96769,40.01
43,0.003811,93352,35.05,0.002116,96575,39.09
44,0.003996,92997,34.19,0.002223,96371,38.17
45,0.004175,92625,33.32,0.002352,96156,37.25
46,0.004388,92238,32.46,0.002516,95930,36.34
47,0.004666,91833,31.60,0.002712,95689,35.43
48,0.004973,91405,30.75,0.002936,95429,34.53
49,0.005305,90950,29.90,0.003177,95149,33.63
50,0.005666,90468,29.05,0.003407,94847,32.73
51,0.006069,89955,28.22,0.003642,94524,31.84
52,0.006539,89409,27.39,0.003917,94180,30.96
53,0.007073,88825,26.56,0.004238,93811,30.08
54,0.007675,88196,25.75,0.004619,93413,29.20
55,0.008348,87520,24.94,0.005040,92982,28.34
56,0.009051,86789,24.15,0.005493,92513,27.48
57,0.009822,86003,23.37,0.005987,92005,26.63
58,0.010669,85159,22.59,0.006509,91454,25.78
59,0.011548,84250,21.83,0.007067,90859,24.95
60,0.012458,83277,21.08,0.007658,90217,24.12
61,0.013403,82240,20.34,0.008305,89526,23.31
62,0.014450,81138,19.61,0.008991,88782,22.50
63,0.015571,79965,18.89,0.009681,87984,21.70
64,0.016737,78720,18.18,0.010343,87132,20.90
65,0.017897,77402,17.48,0.011018,86231,20.12
66,0.019017,76017,16.79,0.011743,85281,19.34
67,0.020213,74572,16.11,0.012532,84279,18.56
68,0.021569,73064,15.43,0.013512,83223,17.79
69,0.023088,71488,14.76,0.014684,82099,17.03
70,0.024828,69838,14.09,0.016025,80893,16.27
71,0.026705,68104,13.44,0.017468,79597,15.53
72,0.028761,66285,12.80,0.019195,78206,14.80
73,0.031116,64379,12.16,0.021195,76705,14.08
74,0.033861,62376,11.53,0.023452,75079,13.37
75,0.037088,60263,10.92,0.025980,73319,12.68
76,0.041126,58028,10.32,0.029153,71414,12.00
77,0.045241,55642,9.74,0.032394,69332,11.35
78,0.049793,53125,9.18,0.035888,67086,10.71
79,0.054768,50479,8.64,0.039676,64678,10.09
80,0.060660,47715,8.11,0.044156,62112,9.49
81,0.067027,44820,7.60,0.049087,59370,8.90
82,0.073999,41816,7.11,0.054635,56455,8.34
83,0.081737,38722,6.64,0.061066,53371,7.79
84,0.090458,35557,6.18,0.068431,50112,7.26
85,0.100525,32340,5.75,0.076841,46683,6.76
86,0.111793,29089,5.34,0.086205,43095,6.28
87,0.124494,25837,4.94,0.096851,39380,5.83
88,0.138398,22621,4.58,0.109019,35566,5.40
89,0.153207,19490,4.23,0.121867,31689,5.00
90,0.169704,16504,3.91,0.135805,27827,4.62
91,0.187963,13703,3.60,0.151108,24048,4.27
92,0.208395,11128,3.32,0.168020,20414,3.94
93,0.230808,8809,3.06,0.186340,16984,3.64
94,0.253914,6776,2.83,0.206432,13819,3.36
95,0.277402,5055,2.63,0.228086,10967,3.10
96,0.300882,3653,2.44,0.250406,8465,2.87
97,0.324326,2554,2.28,0.273699,6346,2.66
98,0.347332,1726,2.13,0.296984,4609,2.47
99,0.369430,1126,2.00,0.319502,3240,2.30
100,0.391927,710,1.88,0.342716,2205,2.14
101,0.414726,432,1.76,0.366532,1449,2.00
102,0.437722,253,1.66,0.390844,918,1.87
103,0.460800,142,1.56,0.415531,559,1.75
104,0.483840,77,1.47,0.440463,327,1.63
105,0.508032,40,1.39,0.466891,183,1.52
106,0.533434,19,1.31,0.494904,97,1.42
107,0.560105,9,1.23,0.524599,49,1.32
108,0.588111,4,1.15,0.556075,23,1.23
109,0.617516,2,1.08,0.589439,10,1.14
110,0.648392,1,1.01,0.624805,4,1.05
111,0.680812,0,0.94,0.662294,2,0.97
112,0.714852,0,0.87,0.702031,1,0.89
113,0.750595,0,0.81,0.744153,0,0.82
114,0.788125,0,0.75,0.788125,0,0.75
115,0.827531,0,0.70,0.827531,0,0.70
116,0.868907,0,0.64,0.868907,0,0.64
117,0.912353,0,0.59,0.912353,0,0.59
118,0.957970,0,0.54,0.957970,0,0.54
119,1.000000,0,0.50,1.000000,0,0.50
